                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1545,                 3.2579,                 1.5511,                0.07109,                0.25335,                0.00669,                0.00247,                 2.6226,                 82.631,                 4.8482,                0.07038,              0.0032911,              0.0032911
                      2,                 1.2736,                 2.7691,                 1.6201,                0.14047,                0.03308,                0.00509,                 0.0018,                 2.4591,                 5.1841,                 3.3298,               0.040314,              0.0065589,              0.0065589
                      3,                  1.291,                  2.667,                 1.6168,                0.20562,                0.12744,                 0.0119,                0.00411,                 2.3676,                 4.6848,                 3.1041,               0.010183,              0.0097606,              0.0097606
                      4,                 1.2111,                 2.5403,                 1.5531,                 0.0966,                 0.0918,                0.02627,                0.01703,                 2.3553,                 6.2661,                 2.8387,               0.009703,               0.009703,               0.009703
                      5,                 1.1841,                 2.4819,                 1.5114,                0.40778,                0.19588,                0.09765,                0.06378,                 1.5279,                 3.2405,                 2.1493,               0.009703,               0.009703,               0.009703
                      6,                 1.1303,                  2.427,                 1.4899,                0.08773,                0.28896,                0.11446,                0.07902,                 1.2243,                 2.8823,                 1.7642,               0.009604,               0.009604,               0.009604
                      7,                 1.1022,                 2.3244,                 1.4901,                0.23103,                0.31864,                0.13756,                0.09461,                 1.2865,                 2.7128,                 1.8439,               0.009505,               0.009505,               0.009505
                      8,                 1.0598,                 2.3126,                 1.4427,                0.14907,                0.33463,                0.14692,                0.10062,                 1.1548,                 3.3537,                 1.7034,               0.009406,               0.009406,               0.009406
                      9,                 1.0506,                 2.2616,                  1.431,                  0.291,                0.37573,                0.19256,                0.14031,                 1.1214,                 2.5453,                 1.6807,               0.009307,               0.009307,               0.009307
                     10,                 1.0065,                 2.2215,                 1.4077,                0.21276,                0.37672,                0.18914,                0.13996,                 1.1539,                 2.7339,                 1.6717,               0.009208,               0.009208,               0.009208
                     11,                 1.0066,                 2.2008,                 1.3881,                0.14359,                0.39094,                0.19136,                0.13614,                 1.0817,                  2.626,                 1.6097,               0.009109,               0.009109,               0.009109
                     12,                0.99101,                  2.154,                 1.3951,                0.20208,                0.39364,                 0.2303,                0.16754,                 1.1296,                 2.3329,                 1.7652,                0.00901,                0.00901,                0.00901
                     13,                 0.9241,                 2.0669,                 1.3416,                0.30593,                0.44676,                0.30073,                0.22866,                 0.9679,                 2.1002,                 1.4567,               0.008911,               0.008911,               0.008911
                     14,                 0.9571,                 2.0734,                 1.3767,                0.17424,                0.36576,                0.17659,                0.13331,                0.97756,                 3.5647,                 1.5017,               0.008812,               0.008812,               0.008812
                     15,                0.91209,                 2.0317,                  1.332,                0.65685,                  0.238,                0.29673,                0.23017,                0.98987,                 2.1595,                 1.5584,               0.008713,               0.008713,               0.008713
                     16,                0.90559,                 1.9746,                 1.3404,                0.23993,                0.46309,                0.29962,                0.22864,                 0.9623,                 2.2485,                 1.4986,               0.008614,               0.008614,               0.008614
                     17,                0.90331,                 1.9465,                 1.3254,                0.35316,                0.32736,                0.27576,                0.20175,                 1.0061,                  2.386,                  1.505,               0.008515,               0.008515,               0.008515
                     18,                0.90358,                 1.9706,                 1.3348,                0.42961,                0.33302,                0.32456,                0.24167,                0.91405,                  2.049,                  1.425,               0.008416,               0.008416,               0.008416
                     19,                0.90286,                  1.903,                 1.3236,                0.36309,                0.44984,                0.37676,                0.28691,                0.97204,                 1.9867,                  1.484,               0.008317,               0.008317,               0.008317
                     20,                0.88879,                 1.8549,                 1.3182,                0.24648,                0.45521,                0.27348,                0.20228,                0.98639,                 2.4577,                 1.4967,               0.008218,               0.008218,               0.008218
                     21,                0.87287,                 1.7893,                 1.3044,                0.52335,                0.44602,                0.44196,                 0.3235,                 0.9847,                  1.812,                 1.5491,               0.008119,               0.008119,               0.008119
                     22,                 0.8853,                  1.743,                 1.2991,                0.40308,                0.46566,                0.41636,                0.31711,                0.91745,                 1.7519,                 1.4502,                0.00802,                0.00802,                0.00802
                     23,                0.85902,                 1.7336,                 1.3023,                0.54594,                0.34705,                0.34325,                0.25746,                0.95686,                 2.1148,                 1.5328,               0.007921,               0.007921,               0.007921
                     24,                0.83486,                 1.7144,                 1.2874,                0.41636,                0.52294,                0.46834,                0.35075,                0.97596,                 1.6994,                 1.5354,               0.007822,               0.007822,               0.007822
                     25,                0.86381,                 1.7208,                 1.2983,                 0.4191,                 0.4956,                0.44457,                0.34515,                 0.8972,                 1.7906,                 1.4354,               0.007723,               0.007723,               0.007723
                     26,                0.83952,                 1.6577,                 1.2814,                0.42714,                0.50285,                0.46219,                0.36175,                 0.8743,                 1.7035,                 1.3742,               0.007624,               0.007624,               0.007624
                     27,                0.80979,                 1.6405,                 1.2545,                0.56239,                0.49943,                0.50804,                0.39301,                0.84051,                 1.7178,                 1.3735,               0.007525,               0.007525,               0.007525
                     28,                0.80992,                 1.6028,                 1.2529,                0.51398,                0.47139,                0.48755,                0.37636,                0.86966,                 1.6649,                 1.3749,               0.007426,               0.007426,               0.007426
                     29,                0.81665,                 1.5884,                 1.2692,                0.57106,                0.47815,                0.51001,                0.39764,                0.88676,                  1.624,                 1.4223,               0.007327,               0.007327,               0.007327
                     30,                0.79691,                 1.5627,                  1.256,                0.36729,                0.41142,                0.33438,                0.27125,                0.93822,                 2.3739,                  1.486,               0.007228,               0.007228,               0.007228
                     31,                 0.8057,                 1.5941,                 1.2603,                0.48211,                0.49497,                0.46437,                0.36242,                0.91765,                 1.7908,                 1.4877,               0.007129,               0.007129,               0.007129
                     32,                0.79019,                 1.5435,                 1.2469,                0.51605,                0.50111,                0.49343,                0.38267,                0.89529,                 1.6641,                 1.4085,                0.00703,                0.00703,                0.00703
                     33,                 0.7713,                 1.4565,                 1.2336,                0.56022,                0.43023,                0.47849,                0.37365,                0.90769,                 1.7107,                 1.4313,               0.006931,               0.006931,               0.006931
                     34,                0.78612,                 1.4935,                 1.2467,                0.47822,                0.53178,                0.53444,                0.41525,                0.85398,                 1.5827,                 1.3695,               0.006832,               0.006832,               0.006832
                     35,                   0.76,                 1.4216,                 1.2275,                0.50066,                0.61248,                0.59343,                0.47057,                0.78525,                 1.3829,                 1.3097,               0.006733,               0.006733,               0.006733
                     36,                0.76657,                 1.4285,                 1.2353,                0.54566,                0.57609,                0.57328,                0.45739,                0.83905,                 1.4583,                 1.3947,               0.006634,               0.006634,               0.006634
                     37,                 0.7464,                 1.3928,                 1.2159,                0.48982,                0.59384,                0.60684,                0.49383,                0.80661,                 1.4547,                 1.3589,               0.006535,               0.006535,               0.006535
                     38,                0.72964,                 1.3608,                 1.1994,                0.61973,                0.44671,                0.51411,                0.41322,                0.77319,                 1.6909,                 1.3055,               0.006436,               0.006436,               0.006436
