                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7905,                 3.8623,                  1.308,                0.03169,                0.82143,                0.16632,                0.14423,                0.61398,                 3.6738,                 1.1834,              0.0001546,              0.0001546,              0.0001546
                      2,                0.75249,                 2.8666,                 1.2757,                0.52064,                0.40182,                0.40769,                0.33229,                0.85295,                 2.6253,                  1.439,             0.00031016,             0.00031016,             0.00031016
                      3,                0.73969,                  2.245,                 1.2531,                0.52595,                0.44355,                0.42365,                0.32493,                0.91004,                 2.4769,                 1.4812,             0.00046259,             0.00046259,             0.00046259
                      4,                0.70203,                 1.8795,                 1.2086,                0.64326,                0.49987,                0.55231,                0.43798,                0.86149,                  2.205,                 1.4876,             0.00046186,             0.00046186,             0.00046186
                      5,                0.69196,                 1.6632,                 1.2015,                0.66858,                0.49979,                0.55778,                0.42856,                0.93557,                 2.2633,                 1.5134,             0.00046186,             0.00046186,             0.00046186
                      6,                 0.6897,                 1.5644,                  1.197,                0.72082,                0.54581,                0.59733,                0.45973,                0.83508,                 2.0419,                 1.4233,             0.00045715,             0.00045715,             0.00045715
                      7,                0.66962,                 1.4673,                 1.1898,                0.73782,                0.55908,                0.59997,                 0.4896,                 0.8084,                 1.9555,                 1.3525,             0.00045244,             0.00045244,             0.00045244
                      8,                0.66597,                 1.3485,                 1.1723,                0.71587,                0.56896,                0.62391,                0.49544,                0.81042,                 1.8565,                 1.3421,             0.00044773,             0.00044773,             0.00044773
                      9,                0.64153,                 1.3006,                 1.1632,                0.72278,                0.52338,                0.60619,                0.48814,                0.84005,                 1.9154,                 1.3932,             0.00044301,             0.00044301,             0.00044301
                     10,                  0.656,                 1.2436,                 1.1781,                0.82081,                0.56102,                0.66052,                0.54687,                0.75645,                 1.5935,                 1.2992,              0.0004383,              0.0004383,              0.0004383
                     11,                0.63175,                  1.201,                 1.1579,                0.72507,                0.55423,                0.57848,                0.46467,                0.84952,                 2.0233,                   1.37,             0.00043359,             0.00043359,             0.00043359
                     12,                0.64944,                 1.1686,                 1.1673,                0.78303,                 0.5838,                 0.6668,                0.53183,                0.82362,                 1.5656,                 1.3792,             0.00042888,             0.00042888,             0.00042888
                     13,                0.60688,                 1.1159,                   1.14,                0.76969,                0.62432,                0.67907,                0.55982,                0.73394,                 1.4234,                 1.3028,             0.00042416,             0.00042416,             0.00042416
                     14,                0.61563,                 1.1028,                 1.1416,                0.73816,                0.68971,                0.71283,                0.59918,                0.72072,                 1.3064,                 1.2828,             0.00041945,             0.00041945,             0.00041945
                     15,                0.60893,                 1.0334,                 1.1378,                0.70786,                0.64085,                0.69971,                0.57237,                0.76048,                 1.3934,                 1.3233,             0.00041474,             0.00041474,             0.00041474
                     16,                0.58265,                 1.0021,                 1.1186,                0.79722,                0.66618,                0.69547,                0.57997,                0.75198,                 1.2801,                 1.3166,             0.00041003,             0.00041003,             0.00041003
                     17,                0.57101,                 1.0023,                 1.1105,                0.74971,                0.59705,                0.68207,                0.56329,                0.74536,                  1.443,                 1.3202,             0.00040531,             0.00040531,             0.00040531
                     18,                 0.5875,                0.98534,                 1.1246,                0.80994,                0.66503,                0.72102,                0.58602,                0.79498,                 1.2428,                 1.3375,              0.0004006,              0.0004006,              0.0004006
                     19,                0.57488,                 0.9373,                 1.1182,                0.75527,                0.63693,                0.70234,                0.56478,                 0.7591,                 1.3026,                 1.3263,             0.00039589,             0.00039589,             0.00039589
                     20,                0.55477,                0.88461,                 1.1019,                0.80096,                0.60872,                 0.6777,                0.56534,                0.76388,                 1.2994,                 1.3162,             0.00039118,             0.00039118,             0.00039118
                     21,                0.57412,                0.88998,                 1.1127,                0.81018,                0.64771,                0.72396,                0.60246,                0.74204,                 1.0979,                 1.3008,             0.00038646,             0.00038646,             0.00038646
                     22,                0.55944,                 0.8724,                 1.1005,                 0.8073,                0.68055,                0.71438,                 0.6009,                0.70871,                 1.1189,                 1.2444,             0.00038175,             0.00038175,             0.00038175
                     23,                0.56034,                0.84387,                 1.1019,                0.84738,                0.67235,                0.72996,                0.58691,                0.80118,                 1.0944,                 1.3567,             0.00037704,             0.00037704,             0.00037704
                     24,                0.56461,                 0.8241,                  1.102,                 0.8311,                0.68207,                0.74497,                0.63073,                0.69444,                 1.0293,                 1.2512,             0.00037233,             0.00037233,             0.00037233
                     25,                0.54999,                0.80161,                  1.095,                0.78867,                0.69147,                 0.7206,                0.60447,                0.72907,                 1.1585,                 1.2714,             0.00036761,             0.00036761,             0.00036761
                     26,                0.54861,                0.80262,                 1.1028,                 0.7854,                0.61683,                0.69326,                0.55773,                0.77598,                 1.3166,                 1.3428,              0.0003629,              0.0003629,              0.0003629
                     27,                0.54026,                0.76407,                 1.0843,                0.68076,                0.64463,                0.71264,                0.60929,                0.71728,                 1.2309,                 1.2433,             0.00035819,             0.00035819,             0.00035819
                     28,                  0.515,                0.74488,                 1.0732,                 0.8394,                 0.6873,                0.74354,                0.63721,                0.67861,                0.96965,                 1.2328,             0.00035348,             0.00035348,             0.00035348
                     29,                0.52529,                0.74089,                 1.0794,                 0.7389,                0.61891,                0.67955,                0.57374,                0.76074,                 1.2459,                 1.3115,             0.00034877,             0.00034877,             0.00034877
                     30,                0.54379,                0.74368,                 1.0813,                0.77292,                0.67344,                0.73444,                0.62403,                0.66214,                 1.0273,                  1.238,             0.00034405,             0.00034405,             0.00034405
                     31,                 0.5209,                0.71653,                 1.0731,                0.80701,                0.68031,                0.71789,                0.60846,                0.69162,                 1.1093,                 1.2331,             0.00033934,             0.00033934,             0.00033934
                     32,                0.52117,                0.71562,                 1.0725,                0.84941,                0.63798,                0.71643,                0.61545,                0.69691,                 1.0328,                 1.2794,             0.00033463,             0.00033463,             0.00033463
                     33,                0.51641,                0.71636,                 1.0743,                0.67673,                 0.6761,                 0.7319,                0.60642,                0.77417,                 1.0795,                 1.3366,             0.00032992,             0.00032992,             0.00032992
                     34,                0.50581,                0.69361,                  1.064,                0.67999,                 0.7411,                0.75109,                0.64749,                0.66416,                0.94183,                  1.231,              0.0003252,              0.0003252,              0.0003252
                     35,                0.51145,                0.70135,                 1.0735,                0.72804,                0.67062,                0.73934,                0.62423,                0.67754,                 1.0319,                 1.2066,             0.00032049,             0.00032049,             0.00032049
                     36,                0.50695,                0.67184,                 1.0654,                0.69896,                0.66576,                0.72032,                0.61512,                0.67197,                 1.1158,                 1.2221,             0.00031578,             0.00031578,             0.00031578
                     37,                0.51645,                0.66478,                 1.0598,                0.83466,                0.66673,                0.73372,                0.62831,                0.68441,                 1.0177,                 1.2565,             0.00031107,             0.00031107,             0.00031107
                     38,                0.49661,                0.63887,                  1.059,                0.77016,                0.74117,                 0.7736,                0.65095,                0.69201,                 0.8906,                 1.2267,             0.00030635,             0.00030635,             0.00030635
                     39,                0.48897,                 0.6299,                  1.052,                  0.789,                0.70981,                0.76403,                0.64909,                0.65766,                0.91775,                  1.226,             0.00030164,             0.00030164,             0.00030164
                     40,                0.48122,                0.60802,                 1.0526,                0.79422,                0.65963,                0.73656,                0.62567,                0.70348,                  1.053,                 1.2263,             0.00029693,             0.00029693,             0.00029693
                     41,                0.49155,                0.61405,                 1.0467,                0.77191,                0.69728,                0.75572,                0.65348,                0.65245,                0.92303,                 1.1979,             0.00029222,             0.00029222,             0.00029222
                     42,                0.47966,                0.60095,                 1.0499,                0.84468,                0.68886,                0.74756,                0.63279,                0.67954,                0.92526,                 1.2419,              0.0002875,              0.0002875,              0.0002875
                     43,                0.48151,                0.60381,                   1.05,                0.86467,                 0.6513,                0.74711,                0.64654,                0.63675,                0.97061,                 1.1933,             0.00028279,             0.00028279,             0.00028279
                     44,                0.48667,                0.58947,                 1.0538,                0.84616,                0.69275,                0.75775,                 0.6441,                0.67321,                0.94449,                 1.2189,             0.00027808,             0.00027808,             0.00027808
                     45,                0.47556,                0.56958,                 1.0481,                0.87529,                 0.7183,                0.77568,                0.65569,                 0.6754,                0.86595,                 1.2314,             0.00027337,             0.00027337,             0.00027337
                     46,                 0.4785,                0.58407,                 1.0456,                0.86258,                0.68675,                0.75126,                0.65093,                0.62852,                0.87893,                 1.1893,             0.00026865,             0.00026865,             0.00026865
                     47,                 0.4733,                0.57839,                 1.0395,                0.73836,                 0.7192,                 0.7686,                0.64174,                0.69324,                0.86012,                 1.2554,             0.00026394,             0.00026394,             0.00026394
                     48,                0.45963,                0.55204,                 1.0389,                0.67773,                0.68771,                0.72151,                0.61202,                0.73183,                 1.0545,                 1.2872,             0.00025923,             0.00025923,             0.00025923
                     49,                0.46707,                0.54596,                 1.0429,                 0.8067,                0.68111,                0.74099,                 0.6236,                 0.7083,                 0.9661,                 1.2942,             0.00025452,             0.00025452,             0.00025452
                     50,                0.45917,                0.54457,                 1.0276,                0.89373,                0.64181,                0.75701,                0.65231,                0.65819,                0.90911,                 1.2246,              0.0002498,              0.0002498,              0.0002498
                     51,                 0.4465,                0.52151,                 1.0279,                0.80289,                0.67564,                0.75392,                0.64661,                 0.6663,                0.93426,                 1.2028,             0.00024509,             0.00024509,             0.00024509
                     52,                0.46571,                0.55006,                 1.0372,                0.73268,                0.69411,                0.76369,                0.65689,                0.62944,                0.89312,                 1.1771,             0.00024038,             0.00024038,             0.00024038
                     53,                0.45425,                0.54442,                 1.0394,                0.88424,                0.66161,                0.74743,                0.65014,                0.63817,                0.93635,                 1.1808,             0.00023567,             0.00023567,             0.00023567
                     54,                0.45461,                0.52511,                 1.0288,                  0.798,                0.70979,                  0.772,                0.66556,                0.65579,                0.86272,                 1.2154,             0.00023096,             0.00023096,             0.00023096
                     55,                0.44606,                0.50634,                 1.0276,                0.77962,                0.71295,                0.76684,                0.67143,                0.64974,                0.87549,                 1.2015,             0.00022624,             0.00022624,             0.00022624
                     56,                0.44716,                0.50696,                 1.0279,                0.71982,                0.70414,                 0.7576,                0.65255,                0.68247,                 0.9059,                 1.2347,             0.00022153,             0.00022153,             0.00022153
                     57,                0.44991,                0.50591,                 1.0283,                0.79808,                0.72284,                0.76349,                0.64711,                0.70952,                0.89185,                 1.2757,             0.00021682,             0.00021682,             0.00021682
                     58,                0.45003,                0.50967,                 1.0299,                0.81928,                0.71428,                0.76679,                0.66699,                0.63339,                0.85243,                 1.1786,             0.00021211,             0.00021211,             0.00021211
                     59,                0.44602,                0.50279,                 1.0238,                0.86033,                0.69635,                0.76313,                0.66265,                0.64122,                0.85512,                 1.1932,             0.00020739,             0.00020739,             0.00020739
                     60,                0.43086,                 0.4811,                 1.0144,                0.78328,                0.71194,                0.76724,                0.66014,                0.65702,                0.82337,                 1.2071,             0.00020268,             0.00020268,             0.00020268
                     61,                0.43323,                0.48088,                 1.0193,                0.70609,                0.73707,                0.76847,                0.66398,                0.65017,                 0.8578,                  1.197,             0.00019797,             0.00019797,             0.00019797
                     62,                 0.4262,                0.47844,                 1.0185,                0.75747,                0.68994,                0.73743,                0.64542,                0.63685,                0.93854,                 1.2033,             0.00019326,             0.00019326,             0.00019326
                     63,                0.42744,                0.46655,                 1.0187,                0.71047,                0.75112,                 0.7681,                0.66609,                0.63318,                0.85581,                 1.1903,             0.00018854,             0.00018854,             0.00018854
                     64,                0.41731,                0.44683,                 1.0076,                0.80885,                0.72121,                0.75129,                0.66476,                0.63431,                0.85875,                 1.2291,             0.00018383,             0.00018383,             0.00018383
